NAMEKEY,SALESKEY,ITEMKEY,BALLDATE,BALLDESC,SERIALNO,BALLPRICE,BALLQTY,COLOR,WEIGHT,INSCRIPT,L1GRIP,L1GRIPSIZE,L1HOLESIZE,L1PITCH,L1PITCHF,L1PITCH2,L1PITCHF2,L2GRIP,L2GRIPSIZE,L2HOLESIZE,L2PITCH,L2PITCHF,L2PITCH2,L2PITCHF2,R1GRIP,R1GRIPSIZE,R1HOLESIZE,R1PITCH,R1PITCHF,R1PITCH2,R1PITCHF2,R2GRIP,R2GRIPSIZE,R2HOLESIZE,R2PITCH,R2PITCHF,R2PITCH2,R2PITCHF2,THSLUG,THSLUGSIZE,THHOLESIZE,THPITCH,THPITCHF,THPITCH2,THPITCHF2,BRIDGE,L1CUTTOCUT,L2CUTTOCUT,R1CUTTOCUT,R2CUTTOCUT,L1SPAN,L2SPAN,R1SPAN,R2SPAN,HAXIS,VAXIS,VAXISUORD,STOCKKEY,PININOUT,TOPWEIGHT,BRIDGE1,BRIDGE2,COMMENTS1,COMMENTS2,SIDEWEIGHT,FINGWEIGHT,DRILLING,CGOVER,CGUP,PINOVER,PINUP,OVALANGLE,OVALWIDTH,DRILLTYPE,WHSIZE,WHDEPTH,WHWEIGHT,WHOVER,WHUP,NUMFINGERS,LEFTRIGHT,MACHSETF1,MACHSETF2,MACHSETF3,MACHSETF4,MACHSETTH,OVALANGLEN,OVALWIDTHN,COMMENTS3,SURFTEXTUR,ENDSIDEWH,ENDFINGTH,HAXISLR,MASSBIAS,F1OVALSIZE,F2OVALSIZE,F3OVALSIZE,F4OVALSIZE,ENDWTTOPB,ENDSIDEPM,ENDFTLIT,DIAMTRACK,SALEPERSON,FINISHDATE,DRCOMMENTS,IPSIAWIDTH,OVALCALCUL
10001,0,0,2010-10-09,C System 4.5,EC751011,0.0,1,Blue/Black,15.25,,None,,,None,None,,,Vise Power Lift,23/32,31/32,Lt,None,1/2,,Vise Power Lift,43/32,31/32,Rt,None,1/4,,None,,,None,None,,,Vise Urethane S,1 1/4,1,Lt,Rev,1/4,3/8,,,4 13/16,4 7/8,,,5 1/16,5 1/8,,,,None,0,3-4,2.9,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,,,,box shiny,,,Right,,,,,,None,None,None,,,,"Blank Drill
Copied specs from Break Point",,IPSIA
10002,4,8,2010-10-11,Storm Reign,10TGNI21B001,179.5,1,Crimson/Fire,15.0,,None,,,None,None,,,Vise PL,43/64,31/32,Lt,Rev,3/8,3/8,Vise PL,45/64,31/32,Rt,None,3/8,,None,,,None,None,,,Vise Urethane S,1 1/4,29/32,Lt,Rev,1/8,1/4,,,,,,,4 5/8,4 1/2,,,,None,722,3-4,3.08,1/4,,,,0.0,0.0,Label Shift,,,,,,,Finger Tip,61/64,3,3/4,5 1/2 >,1 D,2,Left,,,,,,45,.945,,box shiny,1/4,3/4,Right,,,,,,Top,Plus,Finger,,,,"Adjusted Grip from Virtual Gravity per Mike 2/28/11
",,Ebonite
10003,5,11,2010-10-11,Ebonite Maxim,8H010288C,99.95,1,Peek A Boo Blue,14.0,,None,,,None,None,,,None,,3/4,Lt,Fwrd,3/8,1/8,None,,21/32,Rt,Fwrd,3/8,1/8,None,,,None,None,,,None,,53/64,None,Fwrd,,1/8,,,,,,,3 1/8,3 1/4,,,,None,727,N/A,2.25,1/4,,,,0.0,0.0,Label,,,,,,,Conventional,,,,,,2,Right,,,,,,45,,,,,,Right,,,,,,None,None,None,,,,,,IPSIA
10005,0,0,2010-10-11,Backlash,,0.0,1,Red/Blue,0.0,,None,,,None,None,,,Vise Power Lift,23/32,31/32,Lt,Rev,3/8,1/8,Vise Power Lift,11/16,31/32,Rt,Rev,1/4,1/8,None,,,None,None,,,Vise Urethane S,1 1/4,7/8,Lt,Rev,1/8,1/4,,,4 9/16,4 5/8,,,4 25/32,4 7/8,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,,,,box shiny,,,Right,,,,,,None,None,None,,,,"Reslug thumb to smaller thumb
Specs copied from this ball",,IPSIA
10004,0,0,2010-10-09,Slingshot,GCK51006,0.0,1,Red/Silver,15.31,,None,,,None,None,,,Vise Oval,4.5,31/32,Lt,None,3/8,,Vise Oval,3.5,31/32,Rt,None,3/8,,None,,,None,None,,,Vise Urethane S,1 1/4,27/32,Lt,Fwrd,1/8,1/4,,,,,,,3 7/8,3 5/8,,,,None,0,3-4,2.1,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.875,,box shiny,,,Right,,,,,,None,None,None,,,,"Blank Drill, specs copied from Jigsaw Trap
pin over right finger, high, no extra hole",,Ebonite
10006,0,0,2010-10-09,Tropical Heat,,0.0,1,Red/Blue,15.19,,None,,,None,None,,,Vise Oval,47/64,31/32,Lt,None,1/4,,Vise Oval,23/32,31/32,Rt,None,1/8,,None,,,None,None,,,Vise Urethane S,1 1/4,55/64,Lt,Rev,1/8,3/8,,,4 1/2,4 17/32,,,4 11/16+,4 3/4,,,,None,0,2-3,2.24,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.890,,box shiny,,,Right,,,,,,None,None,None,,,,"Blank Drill
Specs copied from 2Furious 10/7/2010",,Ebonite
10007,0,0,2010-10-11,Invasion,09TNVL09A110,0.0,1,Blue/Burg/Red,15.0,,None,,,None,None,,,Vise Power Lift,23/32,31/32,Lt,Rev,3/8,1/8,Vise Power Lift,21/32,31/32,Rt,Rev,3/8,1/8,None,,,None,None,,,None,,55/64,Lt,Rev,1/4,1/4,,,3 23/32,3 13/16,,,,,,,,None,0,3-4,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.965,,,,,Right,,,,,,None,None,None,,,,"plug and redrill thumb, new finger grips",,Ebonite
10009,0,0,2010-10-12,Copied His Ball,,0.0,1,,0.0,,None,,,None,None,,,Vise Power Lift,3/4,31/32,Lt,None,3/8,,Vise Power Lift,25/32,31/32,Rt,None,3/8,,None,,,None,None,,,Pro Sports Tape,31/32,1 1/8,Rt,Rev,1/8,1/2,,,4 5/16,4 5/32,,,4 19/32,4 7/16+,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Left,,,,,,,,,,,,Right,,,,,,None,None,None,,,,,,IPSIA
10011,0,0,2010-10-13,Copied grip from Furious 10/7/10,,0.0,1,,15.0,,None,,,None,None,,,Vise Power Lift,21/32,31/32,Lt,None,3/8,,Vise Power Lift,23/32,31/32,Rt,None,3/8,,None,,,None,None,,,Pro Sports Oval,29/32,1 1/8,Lt,Rev,1/4,3/8,,,4 13/16,4 27/32,,,5 9/32,5 3/16,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Left,,,,,,45,,,,,,Right,,,,,,None,None,None,,,,,,IPSIA
10013,0,0,2010-10-13,Slingshot,1CM11170,0.0,1,Red/Silver Pearl,15.12,,None,,,None,None,,,Vise VACU Style,23/32,1 1/32,Lt,Rev,3/8,1/4,Vise VACU Style,11/16,1 1/32,Rt,Rev,3/8,1/4,None,,,None,None,,,Vise Urethane S,1 1/4,59/64,Lt,Rev,1/8,1/4,,,4 13/32,4 9/16+,,,4 5/8,4 3/4,,2 7/8,7/8,Up,0,3-4,2.9,1/4,,,,0.0,0.0,35 X 4 1/2 X 8,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.955,,box shiny,1/2,3/4,Right,,,,,,None,Plus,Finger,,,,"copied grip from Virtual Gravity (drilled by Carol)

35 X 4 1/2 X 8",,Ebonite
10014,0,0,2010-10-13,Copy Angular One,,0.0,1,,15.0,,None,,,None,None,,,Vise Oval,3/4,31/32,Lt,Rev,3/8,1/4,Vise Oval,23/32,31/32,Rt,Rev,3/8,1/4,None,,,None,None,,,Vise Urethane S,1 1/4,61/64,Lt,Rev,1/4,3/8,,,4 13/32,4 15/32,,,4 9/16,4 21/32,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,,,,,,,Right,,,,,,None,None,None,,,,,,IPSIA
10015,0,0,2010-10-13,Backlash,0C220827A,0.0,1,Blue/Silver,15.0,,None,,,None,None,,,Vise Oval,11/16,31/32,Lt,Rev,3/8,3/8,Vise Oval,41/64,31/32,Rt,Rev,3/8,3/8,None,,,None,None,,,Vise Urethane S,1 1/8,51/64,Lt,Rev,1/4,1/8,,,,,,,4 7/16,4 5/8,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.855,,,,,Right,,,,,,None,None,None,,,,"plug thumb, drop fill fingers, grips, slug
",,Ebonite
10012,0,0,2010-10-13,Copied Complete NV,,0.0,1,,15.0,,None,,,None,None,,,Vise Oval,25/32,31/32,Lt,Fwrd,1/2,1/16,Vise Oval,23/32,31/32,Rt,None,1/2,,None,,,None,None,,,Vise Urethane S,1 1/4,1,Lt,Rev,1/4,1/4,,,,,,,4 1/8,4 1/16,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,,,,,,,Right,,,,,,None,None,None,,,,,,IPSIA
10016,0,0,2010-10-13,Copy Scout Reactive,,0.0,1,,15.0,,None,,,None,None,,,Vise Power Lift,47/64,31/32,Lt,None,3/8,,Vise Power Lift,45/64,31/32,Rt,None,3/8,,None,,,None,None,,,Pro Sports Tape,31/32,1 1/4,Lt,Fwrd,1/16,1/8,,,4 3/16+,4 3/16+,,,4 9/16,4 9/16,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,,,,,,,Right,,,,,,None,None,None,,,,,,IPSIA
10017,0,0,2010-10-13,Mutant Cell Pearl,H008,0.0,1,,15.0,,None,,,None,None,,,Vise Oval,19/32,VACU,Lt,Rev,3/8,1/8,Vise Oval,9/16,VACU,Rt,Rev,3/8,1/8,None,,,None,None,,,Vise Urethane S,1 1/4,51/64,None,Rev,,1/8,,,,,,,4 3/4,4 13/16,,,,None,0,3-4,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.830,,,,,Right,,,,,,None,None,None,,,,"Positive, strong label shift, low rev hole",,Ebonite
10004,0,0,2010-10-13,Target Zone,L881074,0.0,1,Char/Gold/White,15.0,,None,,,None,None,,,Vise Oval,45/64,31/32,Lt,None,3/8,,Vise Oval,43/64,31/32,Rt,None,3/8,,None,,,None,None,,,Vise Urethane S,1 1/4,27/32,Lt,Fwrd,1/8,1/4,,,,,,,3 7/8,3 5/8,,,,None,0,N/A,2.3,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.875,,box shiny,,,Right,,,,,,None,None,None,,,,"Blank Drill, 
spare ball
",,Ebonite
10019,0,0,2010-10-15,Black Widow Pearl,,0.0,1,Red/Black,15.0,,None,,,None,None,,,Vise Oval,29/32,1 1/32,Lt,Rev,3/8,1/2,Vise Oval,13/16,31/32,Rt,Rev,1/4,1/8,None,,,None,None,,,Vise Urethane S,1 3/8,1 1/8,Lt,Rev,1/8,3/8,,,4 5/8+,4 3/4,,,,,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,,,,resurfaced box shiny,,,Right,,,,,,None,None,None,,,,"plug thumb, new finger grips, urethane thumb slug

copied grip from MoRich Leverage",,IPSIA
10021,0,0,2010-10-15,Black Diamond,DZN1980,0.0,1,Black,15.0,,None,,,None,None,,,Vise Oval,3/4,31/32,Lt,None,3/8,,Vise Oval,13/16,31/32,Rt,None,3/8,,None,,,None,None,,,None,,15/16,Lt,Rev,1/8,1/8,,,4 1/4+,4 1/4,,,,,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Left,,,,,,,,,,,,Right,,,,,,None,None,None,,,,"plug and redrill thumb, install finger grips

copied grip from Razyr",,IPSIA
10022,19,43,2010-10-15,Brunswick Target Zone,HCP1138,79.95,1,Green Envy,10.0,,None,,,None,None,,,None,,25/32,Lt,Fwrd,3/8,1/8,None,,45/64,Rt,Fwrd,3/8,1/8,None,,,None,None,,,None,,7/8,Lt,None,1/4,,,,,,,,3 1/8,3 1/4,,,,None,791,N/A,2.1,1/4,,,,0.0,0.0,Label,,,,,,,Conventional,,,,,,2,Right,,,,,,70,.900,,box shiny,,,Right,,,,,,None,None,None,,,,,,Ebonite
10023,0,0,2010-10-15,Copy Reign of Fire,,0.0,1,,15.0,,None,,,None,None,,,Vise Oval,13/16,31/32,Lt,Rev,3/8,1/4,Vise Oval,49/64,31/32,Rt,Rev,3/8,3/8,None,,,None,None,,,Vise Urethane S,1 1/4,31/32,Lt,Rev,1/8,1/4,,,4 11/32,4 15/32+,,,4 1/2,4 5/8,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,1.025,,,,,Right,,,,,,None,None,None,,,,,,Ebonite
10018,0,0,2010-10-16,copy Reign of Fire,,0.0,1,,0.0,,None,,,None,None,,,Vise Power Lift,3/4,31/32,Lt,None,3/8,,Vise Power Lift,3/4,31/32,Rt,Rev,3/8,1/8,None,,,None,None,,,Vise Urethane S,1 1/4,15/16,None,Rev,,3/8,,,4 3/8,4 1/2,,,4 5/8,4 23/32,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.975,,,,,Right,,,,,,None,None,None,,,,,,Ebonite
10024,0,0,2010-10-19,Copy from Laptop,,0.0,1,,16.0,,None,,,None,None,,,Vise Power Lift,27/32,1 1/32,Lt,Rev,3/8,3/4,Vise Power Lift,53/64,1 1/32,Rt,Rev,3/8,3/4,None,,,None,None,,,Vise Urethane S,1 3/8,1 3/64,Lt,Rev,1/8,3/8,,,,,,,5,5 3/16,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,1.105,,,,,Right,,,,,,None,None,None,,,,,,Ebonite
10025,0,0,2010-10-19,copy from laptop,,0.0,1,,15.0,,None,,,None,None,,,Vise Semi,45/64,31/32,Lt,Rev,3/8,1/16,Vise Semi,43/64,31/32,Rt,Rev,3/8,1/16,None,,,None,None,,,Vise Vinyl Slug,1 1/4,7/8,Lt,Rev,1/8,7/16,,,4 13/16,4 3/4,,,,,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.956,,,,,Right,,,,,,None,None,None,,,,,,Ebonite
10026,0,0,2010-10-20,copy from Big One,,0.0,1,,15.0,,None,,,None,None,,,Vise Oval,43/64,31/32,Lt,None,1/4,,Vise Oval,5/8,31/32,Rt,Rev,1/2,1/8,None,,,None,None,,,Vise Urethane S,1 1/4,13/16,Rt,Fwrd,3/8,1/8,,,,,,,4 9/16,4 9/16,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.865,,,,,Right,,,,,,None,None,None,,,,cut to cuts are 3 15/16 and 4 with Switch Grip,,Ebonite
10001,0,0,2010-10-21,Mutant Cell Pearl,10RPME26I048,0.0,1,Aqua/Copper/Purple,15.12,,None,,,None,None,,,Vise Power Lift,23/32,31/32,Lt,None,3/8,,Vise Power Lift,11/16,31/32,Rt,None,3/8,,None,,,None,None,,,Vise Urethane S,1 1/4,1,Lt,Rev,3/8,3/8,,,,,,,5 3/32,5 1/4,,5,3/8,Up,0,2-3,2.94,1/4,,,,0.0,0.0,Label shift,,,,,,,Finger Tip,,,,,,2,Right,,,,,,,,,box shiny,,,Right,,,,,,None,None,None,,,,"Blank Drill
Adjusted specs from Virtual Gravity

Taper thumb grip 1 1/4 OD  1"" or 63/64  cut to cuts 4 11/16+ and 4 7/8",,IPSIA
10028,30,84,2010-10-21,Brunswick Avalanche Urethane,IC33I039,119.95,1,Blue/Purple Pearl,15.0,,None,,,None,None,,,Vise Power Lift,55/64,1 1/32,Lt,None,1/4,,Vise Power Lift,53/64,1 1/32,Rt,None,1/2,,None,,,None,None,,,None,,31/32,Lt,Rev,1/8,1/4,,,,,,,4 17/32,4 11/16+,,,,None,775,3-4,2.2,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,1.005,,box shiny,,,Right,,,,,,None,None,None,,,,"shortened spans 1/8 from Plague copy

pin over ring finger, cg straight down, no hole
probably about 5"" from PAP",,Ebonite
10030,0,0,2010-10-22,copy Cherry Bomb,,0.0,1,,15.0,,None,,,None,None,,,Vise Oval,23/32,31/32,Lt,Rev,3/8,3/8,Vise Oval,11/16,31/32,Rt,Rev,3/8,3/8,None,,,None,None,,,Vise Urethane S,1 1/4,7/8,Lt,Rev,1/8,1/4,,,,,,,4 11/16,4 23/32,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.930,,,,,Right,,,,,,None,None,None,,,,,,Ebonite
10029,0,0,2010-10-22,transfer from laptop,,0.0,1,,15.0,,None,,,None,None,,,Vise Oval,23/32,VACU,Lt,Rev,3/8,1/4,Vise Oval,11/16,VACU,Rt,Rev,3/8,1/2,None,,,None,None,,,Vise Urethane S,1 1/4,7/8,Lt,Rev,1/8,1/8,,,,,,,5 1/4,5 1/4+,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.955,,,,,Right,,,,,,None,None,None,,,,,,Ebonite
10031,0,0,2010-10-22,quick specs,,0.0,1,,15.0,,None,,,None,None,,,None,,31/32,Lt,Rev,3/8,3/8,None,,31/32,Rt,Rev,3/8,3/8,None,,,None,None,,,None,,1 1/4,Lt,Rev,3/16,3/8,,,4 7/8,4 7/8-,,,,,,5 1/4,1 1/2,Up,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,,,,,,,Right,,,,,,None,None,None,,,,,,IPSIA
10029,32,90,2010-10-22,Storm Anarchy,10TANI28B078,229.95,1,Wheat/Plum/Violet,15.0,,None,,,None,None,,,Vise Oval,23/32,VACU,Lt,Rev,3/8,1/4,Vise Oval,11/16,VACU,Rt,Rev,3/8,1/2,None,,,None,None,,,Vise Urethane S,1 1/4,7/8,Lt,Rev,1/8,1/8,,,,,,,5 1/4,5 1/4+,,,,None,856,3-4,3.14,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,31/32,3,,6 3/4,thru cg,2,Right,,,,,,45,.955,,,1/2,1/4,Right,strong,,,,,None,Plus,Thumb,,,,"pin right of ring finger, stacked, low rev hole",,Ebonite
10029,32,92,2010-10-22,Brunswick Target Zone,ECH2199,89.95,1,Green Envy,15.0,,None,,,None,None,,,Vise Oval,23/32,VACU,Lt,Rev,3/8,1/4,Vise Oval,11/16,VACU,Rt,Rev,3/8,1/2,None,,,None,None,,,Vise Urethane S,1 1/4,7/8,Lt,Rev,1/8,1/8,,,,,,,5 1/4,5 1/4+,,,,None,794,N/A,2.5,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.955,,box shiny,,,Right,,,,,,None,None,None,,,,,,Ebonite
10032,0,0,2010-10-23,Sharp Blade copy,42B0223,0.0,1,Blue/Green,15.0,,None,,,None,None,,,Vise Oval,3/4,31/32,Lt,Fwrd,1/4,3/16,Vise Oval,23/32,31/32,Rt,Fwrd,5/16,3/16,None,,,None,None,,,Pro Sports Tape,61/64,1 1/8,Rt,Rev,3/16,1/2,,,4 29/32,4 15/16,,,,,,5 5/8,1/4,Up,0,,0.0,1/4,,,,0.0,0.0,Label,3 3/4,to PAP,3 3/8,to PAP,,,Finger Tip,,,,,,2,Right,,,,,,,,,,,,Right,,,,,,None,None,None,,,,,,IPSIA
10034,39,103,2010-10-23,Brunswick Slingshot,CC451118,124.95,1,Merlot/Gold,14.0,,None,,,None,None,,,Vise Oval,11/16,31/32,Lt,Rev,3/8,1/4,Vise Oval,5/8,31/32,Rt,Rev,3/8,1/4,None,,,None,None,,,None,,61/64,Lt,Rev,1/8,1/4,,,,,,,4 15/16,5 1/16,,,,None,779,3-4,2.2,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,,,,box shiny,,,Right,,,,,,None,None,None,,,,,,Ebonite
10035,0,0,2010-10-23,New Fitting,,0.0,1,,15.0,,None,,,None,None,,,Vise Oval,11/16,31/32,Lt,Rev,3/8,1/4,Vise Oval,5/8,31/32,Rt,Rev,3/8,1/8,None,,,None,None,,,Vise Urethane S,1 1/4,51/64,Rt,Rev,1/8,1/8,,,,,,,4 5/8,4 3/4,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.880,,,,,Right,,,,,,None,None,None,,,,,,Ebonite
10035,40,104,2010-10-23,Storm Anarchy,,229.95,1,Wheat/Plum/Violet,15.0,,None,,,None,None,,,Vise Oval,11/16,31/32,Lt,Rev,3/8,1/4,Vise Oval,5/8,31/32,Rt,Rev,3/8,1/8,None,,,None,None,,,Vise Urethane S,1 1/4,51/64,Rt,Rev,1/8,1/8,,,,,,,4 5/8,4 3/4,,,,None,856,2-3,2.96,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.880,,,,,Right,,,,,,None,None,None,,,,,,Ebonite
10036,0,0,2010-10-25,Fitting by Mike,,0.0,1,,0.0,,None,,,None,None,,,Vise Oval,47/64,31/32,Lt,Rev,3/8,3/8,Vise Oval,11/64,31/32,Rt,Rev,3/8,3/8,None,,,None,None,,,Vise Urethane S,1 1/4,55/64,Lt,Rev,1/8,1/4,,,,,,,4 11/16,4 13/16+,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.965,,,,,Right,,,,,,None,None,None,,,,.030 straight back cut after milling oval,,Ebonite
10036,41,107,2010-10-25,Brunswick Avalanche Urethane,1CJ91048,129.95,1,Blue/Purple Pearl,15.0,,None,,,None,None,,,Vise Oval,47/64,31/32,Lt,Rev,3/8,3/8,Vise Oval,11/64,31/32,Rt,Rev,3/8,3/8,None,,,None,None,,,Vise Urethane S,1 1/4,53/64,Lt,Rev,1/8,1/4,,,,,,,4 11/16,4 27/32,,,,None,775,2-3,2.9,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.945,,box shiny,,,Right,,,,,,None,None,None,,,,.030 straight back cut after milling oval,,Ebonite
10037,44,113,2010-10-25,Brunswick Target Zone,,49.95,1,Mango Swirl,15.0,,None,,,None,None,,,None,,,None,None,,,None,,,None,None,,,None,,,None,None,,,None,,,None,None,,,,,,,,,,,,,,None,788,N/A,0.0,,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,,,,,,,Right,,,,,,None,None,None,,,,,,IPSIA
10037,44,114,2010-10-25,Storm Tropical Heat,,89.95,1,Orange/Purple,15.0,,None,,,None,None,,,None,,,None,None,,,None,,,None,None,,,None,,,None,None,,,None,,,None,None,,,,,,,,,,,,,,None,743,N/A,0.0,,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,,,,,,,Right,,,,,,None,None,None,,,,,,IPSIA
10038,46,116,2010-10-25,Storm Tropical Heat,10TTK12OC015,139.95,1,Black/Silver,15.0,,None,,,None,None,,,Vise Oval,3/4,31/32,Lt,None,1/2,,Vise Oval,25/32,31/32,Rt,Rev,1/4,1/8,None,,,None,None,,,Vise Urethane S,1 1/4,61/64,Rt,Rev,1/8,1/4,,,4 7/8,4 3/4,,,,,,,,None,863,2-3,3.08,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,31/32,3,,5 1/2,3 up,2,Left,,,,,,45,1.030,,box shiny,5/8,1/4,Right,,,,,,None,Plus,Thumb,,,,"pin over fingers on bridge, cg out 45 degrees, high hole",,Ebonite
10039,0,0,2010-10-25,transfer from laptop,,0.0,1,,14.0,,None,,,None,None,,,Vise Power Oval,11/16,31/32,Lt,Fwrd,5/16,1/4,Vise Power Oval,21/32,31/32,Rt,Fwrd,5/8,3/8,None,,,None,None,,,Vise Urethane S,1/8,57/64,Rt,Rev,1/8,3/8,,,4 7/32,4 5/16,,,,,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,,,,,,,Right,,,,,,None,None,None,,,,,,IPSIA
10040,0,0,2010-10-26,Columbia Freeze,,0.0,1,Red/Blue,13.0,,None,,,None,None,,,Vise Oval,11/16,31/32,Lt,Rev,3/8,1/4,Vise Oval,5/8,31/32,Rt,Rev,3/8,1/8,None,,,None,None,,,Vise Urethane S,1 1/4,7/8,Lt,Rev,1/8,1/8,,,,,,,4 11/32,4 7/16,,,,None,0,2-3,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.880,,resurfaced box shiny,,,Right,,,,,,None,None,None,,,,"used ball, grip copied from 14lb Freeze",,Ebonite
10041,0,0,2010-10-26,Khameleon,ARS3226,0.0,1,Black,15.0,,None,,,None,None,,,None,,45/64,Lt,Rev,3/8,5/16,None,,43/64,Rt,Rev,3/8,7/16,None,,,None,None,,,Vise Urethane S,1 1/4,57/64,Lt,None,1/8,,,,,,,,4 1/4,4 3/8,,5 3/8,3/8,Up,0,2-3,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.955,,Bruns Rough Buff,,,Right,,,,,,None,None,None,,,,"Blank Drill
his specs
",,Ebonite
10042,53,126,2010-10-26,Track Inc. 607A SE,0G261140B,179.95,1,Black/Red/Yellow,15.0,,None,,,None,None,,,Vise Power Lift,53/64,1 1/32,Lt,None,3/8,,Vise Power Lift,3/4,31/32,Rt,None,3/8,,None,,,None,None,,,Pro Sports Tape,1 1/32,1 1/4,Lt,Rev,1/8,5/8,,,5 1/8+,5 1/4+,,,,,,,,None,869,2-3,2.5,1/4,,,,0.0,0.0,Positive Shift,,,,,,,Finger Tip,7/8,3,1,5 1/4,1 1/2 up,2,Right,,,,,,,,,box shiny,1/2,5/8,Right,strong,,,,,Bottom,Plus,Finger,,,,"pin over fingers on bridge, MB strong, high hole to legal",,IPSIA
10043,0,0,2010-10-27,Power Groove,CAP12273,0.0,1,Blue/Pink,14.0,,None,,,None,None,,,Vise Oval,45/64,31/32,Lt,Rev,3/8,1/4,Vise Oval,43/64,31/32,Rt,Rev,3/8,1/4,None,,,None,None,,,None,,27/32,None,Rev,,3/8,,,,,,,4 7/8,5,,,,None,0,4-5,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.935,,box shiny,,,Right,,,,,,None,None,None,,,,Blank Drill,,Ebonite
10044,0,0,2010-10-27,Mutant Cell,09RCMJ29A115,0.0,1,,15.0,,None,,,None,None,,,Vise Oval,49/64,31/32,Lt,Rev,3/8,1/4,Vise Oval,47/64,31/32,Rt,Rev,3/8,1/4,None,,,None,None,,,Vise Urethane S,1 3/8,27/32,Lt,Rev,5/16,5/16,,,,,,,4 3/8,4 1/2,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,1.000,,,,,Right,,,,,,None,None,None,,,,"plug thumb, grips, slug",,Ebonite
